school,class_id,student_no,kokugo_att_1,kokugo_att_2,kokugo_att_3,kokugo_att_4,kokugo_att_5,kokugo_att_6,kokugo_att_7,kokugo_att_8,kokugo_att_9,kokugo_att_10,kokugo_att_11,kokugo_att_12,shakai_att_1,shakai_att_2,shakai_att_3,shakai_att_4,shakai_att_5,shakai_att_6,shakai_att_7,shakai_att_8,shakai_att_9,shakai_att_10,shakai_att_11,shakai_att_12,sugaku_att_1,sugaku_att_2,sugaku_att_3,sugaku_att_4,sugaku_att_5,sugaku_att_6,sugaku_att_7,sugaku_att_8,sugaku_att_9,sugaku_att_10,sugaku_att_11,sugaku_att_12,rika_att_1,rika_att_2,rika_att_3,rika_att_4,rika_att_5,rika_att_6,rika_att_7,rika_att_8,rika_att_9,rika_att_10,rika_att_11,rika_att_12,eigo_att_1,eigo_att_2,eigo_att_3,eigo_att_4,eigo_att_5,eigo_att_6,eigo_att_7,eigo_att_8,eigo_att_9,eigo_att_10,eigo_att_11,eigo_att_12
C,1,2,1,2,3,2,1,1,2,2,2,3,2,1,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3,4,3,2,2,3,2,2,3,3,3,4,3,3,3,4,3,3,4,4,2,3,3,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0
C,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4,3,4,4,4,3,4,3,3,4,4,4,4,1,2,3,4,1,1,2,4,3,2,2,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
C,1,4,3,3,3,3,4,2,3,4,4,3,4,3,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3,3,4,3,3,3,4,3,4,3,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
C,1,5,3,3,3,2,3,2,3,3,2,3,3,3,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2,3,3,2,3,3,3,3,2,2,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
C,1,6,1,1,1,3,1,1,2,1,1,1,1,2,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,3,3,2,2,2,4,4,3,3,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
C,1,7,4,4,4,3,4,2,4,4,4,4,3,4,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,3,2,3,2,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
C,1,8,3,4,4,3,4,3,3,4,4,4,3,4,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2,2,3,2,3,2,2,3,2,2,2,3,4,3,2,3,2,3,3,2,3,2,3,2,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
C,1,9,3,2,4,3,4,4,3,4,4,3,2,3,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0
C,1,10,4,4,4,3,4,4,4,4,2,4,4,4,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,4,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0
C,1,11,2,4,4,4,3,2,4,3,4,3,2,4,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1,2,4,3,1,2,3,1,1,2,2,2,3,2,4,4,2,1,4,4,4,4,3,4,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
C,1,12,3,3,4,3,3,2,4,3,1,3,3,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,2,3,3,4,3,3,3,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0
C,1,13,3,4,4,4,3,4,4,3,3,4,4,4,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
C,1,14,3,3,2,3,3,3,2,2,2,2,2,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,4,3,3,4,2,3,4,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
C,1,15,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
C,1,16,2,2,2,3,3,4,3,3,3,4,2,3,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2,3,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,4,1,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
C,1,17,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1,2,3,1,1,1,2,2,1,3,2,2,4,4,4,4,4,3,3,4,4,2,4,3,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0
C,1,18,1,1,3,1,1,1,1,3,1,1,2,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1,1,3,1,1,1,1,3,1,1,2,1,4,2,4,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
C,1,19,2,3,2,2,3,2,3,2,2,2,1,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,2,3,2,1,2,3,2,1,2,1,1,4,4,3,3,3,3,3,3,4,4,4,3,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
C,1,20,3,3,3,2,2,2,3,3,2,3,2,3,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1,21,1,3,3,3,3,3,3,3,3,3,3,3,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
C,1,22,1,1,1,1,1,1,1,1,1,1,1,1,2.0,2.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,2,3,4,3,1,1,4,4,2,3,4,2,4,2,3,3,3,2,1,2,4,3,2,3,2.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0
C,1,23,2,3,3,3,3,3,4,4,4,4,4,4,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1,1,1,2,1,1,1,1,1,1,1,1,4,3,3,2,4,3,3,4,4,3,4,4,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
C,1,24,4,3,4,4,4,3,4,4,3,3,4,4,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3,4,4,2,2,3,4,4,3,3,4,4,3,2,3,4,4,2,3,3,4,3,3,4,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
C,1,25,2,2,3,3,2,2,3,4,4,3,2,3,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,4,3,3,4,3,2,3,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0
C,1,26,4,3,3,2,3,2,2,4,2,2,3,3,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2,3,2,2,2,3,3,3,2,2,2,3,3,2,3,2,3,2,2,4,3,2,2,2,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
C,1,27,1,3,4,2,1,1,1,4,1,3,1,3,3.0,2.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,3,3,3,3,3,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
C,1,28,1,2,3,2,1,1,3,3,2,3,3,3,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,3,4,2,2,4,4,4,4,4,4,4,3,3,3,3,4,3,2,3,4,4,4,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
C,1,29,1,2,1,1,1,2,3,3,3,3,3,3,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,2,3,2,2,2,3,3,3,0,3,4,4,4,4,4,4,4,4,4,4,4,4,2.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
C,1,30,3,3,0,4,2,1,3,4,4,3,4,4,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2,3,3,3,4,3,3,4,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,3,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,3.0
C,2,1,1,1,2,2,1,1,2,2,3,2,1,1,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2,1,2,1,1,1,2,2,1,2,2,2,4,4,4,4,3,4,3,4,3,2,3,4,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
C,2,3,2,1,2,2,2,2,1,3,1,1,0,0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4,4,4,4,4,4,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
C,2,4,3,2,3,4,4,2,2,3,3,1,2,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,3,2,1,4,3,2,1,4,3,2,1,2,1,2,1,3,1,1,2,3,2,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
C,2,5,2,2,2,3,2,2,3,2,2,2,2,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
